,Amitabh Bachchan,Madhuri Dixit,Gulshan Grover,Rekha,Hrithik Roshan,Kajol,Dharmendra,Sridevi,Juhi Chawla,Hema Malini,Sanjay Dutt,Kareena Kapoor,Karisma Kapoor,Preity G Zinta,Jackie Shroff,Salman Khan,Twinkle Khanna,Tabu,Shakti Kapoor,Urmila Matondkar,Nana Patekar,Sonali Bendre,Fardeen Khan,Aftab Shivdasani,Tinnu Anand,Raj Babbar,Aruna Irani,Abhishek Bachchan,Mohnish Behl,Manoj Bajpayee,Bipasha Basu,Jaya Bachchan,Bhagyashree Patwardhan,Jaspal Bhatti,Rahul Bose,Mithun Chakraborty,Mahima Chaudhry,Bhoomika Chawla,Randhir Kapoor,Nandita Das,Danny Denzongpa,Bobby Deol,Esha Deol,Sunny Deol,Mukul Dev,Rahul Dev,Prabhu Deva,Ajay Devgn,Poonam Dhillon,Avtar Gill,Vikram Gokhale,Govinda,Milind Gunaji,Kamal Haasan,Vrajesh Hirjee,Randeep Hooda,Jaaved Jaaferi,Farida Jalal,Jaya Prada,Jeetendra,Sharman Joshi,Kader Khan,Dimple Kapadia,Anil Kapoor,Annu Kapoor,Rajat Kapoor,Rishi Kapoor,Supriya Karnik,Kunal Kemmu,Aamir Khan,Arbaaz Khan,Arshad Warsi,Feroz Khan,Irrfan Khan,Saif Ali Khan,Shah Rukh Khan,Sohail Khan,Akshaye Khanna,Mukesh Khanna,Vinod Khanna,Kulbhushan Kharbanda,Sachin Khedekar,Anupam Kher,Manisha Koirala,Isha Koppikar,Atul Kulkarni,Akshay Kumar,Johny Lever,Madhavan,Pawan Malhotra,Sanjay Mishra,Rani Mukerji,Govind Namdeo,Nassar,Neelam Kothari,Manoj Pahwa,Chunky Pandey,Ameesha Patel,Vinay Pathak,Prakash Raj,Amrish Puri,Om Puri,Vijay Raaz,Aishwarya Rai Bachchan,Rajinikanth,Paresh Rawal,Fatima Sana Shaikh,Raima Sen,Sushmita Sen,Naseeruddin Shah,Farooq Shaikh,Kim Sharma,Rajesh Sharma,Jimmy Shergill,Shilpa Shetty Kundra,Suniel Shetty,Saurabh Shukla,Chandrachur Singh,Neetu Singh,Raveena Tandon,Mukesh Tiwari,Ashish Vidyarthi,Gracy Singh,Tusshar Kapoor,Arjun Rampal,Aashish Chaudhary,Yashpal Sharma,Alia Bhatt,Farhan Akhtar,Rajpal Naurang Yadav,Vivek Oberoi,Lara Dutta,Dia Mirza,Riya Sen,Amrita Arora,Aarti Chhabria,Amrita Rao,Sameera Reddy,Boman Irani,Neha Dhupia,Katrina Kaif,Priyanka Chopra Jonas,Konkona Sen Sharma,Koena Mitra,Ranvir Shorey,Manoj Joshi,Rimi Sen,Samir Soni,Uday Tikekar,Sunny Leone,Riteish Deshmukh,Genelia Deshmukh,Zayed Khan,John Abraham,Mallika Sherawat,Shriya Saran,Shahid Kapoor,Celina Jaitly,Sonu Sood,Imran Khan,Emraan Hashmi,Vipin Sharma,Gul Panag,Iqbal Khan,Nayanthara,Raju Srivastava,Kunal Kapoor,Nawazuddin Siddiqui,Shruti Haasan,Ranbir Kapoor,Karishma Tanna,Prabhas,Shreyas Talpade,Soha Ali Khan,Chitrangda Singh,Neil Nitin Mukesh,Ayesha Takia,Vidya Balan,Ashwini Kalsekar,Arjun Kapoor,Asin Thottumkal,Upendra Limaye,Sneha Ullal,Vatsal Sheth,Sophiya Chaudhary,Abhay Deol,Tanushree Dutta,Nimrat Kaur,Kay Kay Menon,Tamannaah Bhatia,Manjari Fadnnis,Minissha Lamba,Sonam Kapoor,Deepika Padukone,Kangana Ranaut,Govardhan Asrani,Sunny Singh,Daisy Shah,Krishna Abhishek,Ileana D'Cruz,Radhika Apte,Aditi Rao Hydari,Nushrratt Bharuccha,Kajal Aggarwal,Jacqueline Fernandez,Pankaj Tripathi,Fawad Khan,Mahie Gill,Bruna Abdullah,Prateik Patil Babbar,Anushka Sharma,Adah Sharma,Aditya Roy Kapoor,Richa Chadha,Kalki Koechlin,Nivetha Thomas,Sidharth Malhotra,Varun Dhawan,Amy Jackson,Esha Gupta,Sudesh Lehri,Sana Khan,Shraddha Kapoor,Samantha Ruth Prabhu,Lisa Haydon,Nargis Fakhri,Kriti Kharbanda,Kainaat Arora,Zareen Khan,Tahir Raj Bhasin,Sushant Singh Rajput,Rajkummar Rao,Ranveer Singh,Sonakshi Sinha,Taapsee Pannu,Sunny Kaushal,Anil Charanjeett,Yami Gautam,Kartik Aaryan,Parineeti Chopra,Sonalee Kulkarni,Vidyut Jammwal,Mouni Roy,Saqib Saleem,Freddy Daruwala,Ayushmann Khurrana,Huma Qureshi,Pulkit Samrat,Lavanya Tripathi,Pooja Hegde,Kriti Sanon,Vikrant Massey,Rhea Chakraborty,Amyra Dastur,Vaani Kapoor,Vicky Kaushal,Urvashi Rautela,Tiger Shroff,Kapil Sharma,Bhumi Pednekar,Kiara Advani,Nora Fatehi,Shriya Pilgaonkar,Mrunal Thakur,Athiya Shetty,Sanya Malhotra,Alaya F,Disha Patani,Sobhita Dhulipala,Siddhant Chaturvedi,Mehreen Pirzada,Nidhhi Agerwal,Rashmika Mandanna,Sara Ali Khan,Janhvi Kapoor
Sanjay Dutt,13,10,32,2,2,4,6,1,5,1,0,2,3,1,13,7,3,2,31,3,2,1,3,3,4,6,6,7,8,4,7,0,0,3,0,7,4,0,0,1,6,2,3,5,1,7,0,13,3,16,3,9,2,0,1,1,4,5,6,3,2,15,2,3,5,0,6,4,2,1,4,10,1,3,4,3,2,4,6,5,7,9,23,7,4,1,10,12,1,0,10,2,1,0,5,5,10,3,0,4,12,8,3,2,2,22,0,4,1,1,0,1,1,6,5,14,5,3,0,12,6,7,1,2,5,3,1,2,0,10,3,4,6,2,3,3,2,4,8,6,3,5,0,1,0,4,0,1,1,1,7,0,4,5,1,1,3,2,1,2,1,1,1,0,1,0,1,1,1,2,0,1,0,2,2,0,1,4,3,1,1,0,0,0,3,0,1,0,2,0,0,4,0,2,6,14,1,1,0,0,1,1,1,0,2,1,0,2,1,0,1,1,2,0,0,0,0,2,0,0,1,1,1,0,1,1,2,0,1,0,1,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0
Kareena Kapoor,5,0,2,0,4,2,0,0,2,0,2,0,1,2,6,6,0,1,4,0,0,0,3,1,1,3,0,4,1,3,3,2,1,0,1,1,1,0,0,0,1,2,2,1,0,2,1,9,0,2,0,2,3,0,7,1,3,2,0,0,2,1,2,4,2,2,0,3,1,4,2,3,0,2,8,8,1,3,1,1,4,1,5,0,3,0,14,7,2,3,5,6,1,1,0,3,1,0,1,1,6,9,1,0,1,4,0,0,1,1,0,1,1,1,0,6,1,0,0,1,4,3,0,6,6,0,5,2,3,2,3,2,1,0,2,1,1,0,4,1,1,5,1,0,3,7,1,0,2,1,1,0,0,1,1,0,6,1,1,3,1,1,0,0,0,1,0,3,1,0,2,0,3,0,1,0,1,0,4,3,0,0,0,1,0,0,1,0,1,0,0,0,2,4,0,5,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,2,2,0,2,0,1,3,0,1,0,0,0,0,0,1,3,2,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Karisma Kapoor,3,1,11,1,1,1,1,1,2,0,3,1,0,0,2,10,1,6,24,0,1,4,0,0,7,2,12,1,7,2,0,1,0,1,0,0,0,0,0,0,2,2,0,2,0,1,1,5,0,9,0,10,0,0,2,0,0,9,1,0,0,16,2,3,1,0,0,1,2,2,1,2,0,0,3,2,0,0,4,1,3,0,6,1,1,0,11,12,0,1,0,0,2,0,1,0,0,1,0,2,5,2,2,1,0,10,1,0,2,1,0,0,0,1,2,5,0,1,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Preity G Zinta,6,2,0,4,5,3,1,0,1,1,1,2,0,0,2,7,0,0,1,1,0,1,0,0,1,0,0,4,2,1,2,1,0,0,0,1,1,1,1,0,0,6,0,6,1,0,0,1,0,1,1,2,0,0,0,1,1,5,0,0,0,1,1,3,0,1,0,0,0,1,0,2,0,0,5,7,2,1,0,0,2,1,3,1,1,0,3,5,0,0,2,7,1,0,0,0,1,1,2,2,3,2,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,1,0,0,2,1,1,0,4,0,0,1,2,2,1,3,1,2,1,0,0,0,2,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,1,0,0,0,1,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jackie Shroff,8,13,38,3,2,2,5,5,9,4,13,6,2,2,0,7,0,4,29,4,7,2,1,1,11,6,14,7,4,3,1,1,0,2,0,12,2,0,0,2,9,1,2,10,1,4,2,6,6,17,5,6,6,0,5,1,6,4,4,1,2,15,10,16,3,1,5,4,0,2,6,4,0,2,1,6,4,3,7,2,11,4,28,15,0,3,7,16,1,1,9,3,9,2,5,4,10,1,0,0,16,10,4,3,3,20,1,4,3,8,0,0,0,3,1,10,5,0,0,6,3,7,0,1,2,1,3,0,2,11,2,3,3,3,1,3,0,2,6,1,5,1,0,1,1,6,1,2,1,2,8,0,2,3,1,3,1,1,5,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,4,1,2,1,1,0,0,0,0,1,0,1,0,7,1,1,0,0,3,2,18,0,0,1,1,1,0,0,0,5,3,0,2,0,0,0,0,1,2,0,0,1,1,1,3,1,0,3,0,1,1,1,1,1,0,0,0,2,2,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,1
Salman Khan,4,4,4,2,0,3,3,2,3,3,7,6,10,7,7,0,3,6,16,1,1,3,1,0,8,2,1,3,12,0,2,0,4,2,0,5,2,3,0,0,3,3,2,5,2,2,2,6,0,11,3,4,2,0,1,4,0,7,0,1,1,11,3,6,0,1,3,3,1,2,11,2,0,0,3,9,17,3,3,6,2,4,19,3,3,0,5,16,1,2,6,8,4,1,3,8,3,1,4,2,6,8,1,3,0,7,0,0,4,1,2,0,5,1,5,3,5,0,0,6,1,2,1,1,0,1,3,0,1,9,0,2,1,2,3,1,0,1,2,0,11,3,0,0,3,7,2,1,3,1,2,3,1,4,0,1,1,1,1,1,2,1,1,0,1,3,0,3,0,2,0,0,0,0,0,1,2,1,1,3,2,1,1,2,0,0,0,0,1,0,0,0,2,2,1,9,0,3,1,2,1,0,0,0,6,2,0,2,1,0,1,0,1,0,0,0,1,4,0,1,3,2,1,0,0,3,2,0,2,0,1,0,0,7,1,0,1,1,0,1,0,2,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0
Twinkle Khanna,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,3,0,0,6,0,0,2,1,1,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,2,0,5,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,1,2,0,1,2,3,0,0,0,7,8,0,0,1,0,0,0,0,0,2,0,0,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabu,3,0,7,0,0,1,0,0,1,1,2,1,6,0,4,6,0,0,4,1,4,1,0,0,3,0,2,1,3,3,0,0,0,1,2,0,2,1,0,0,3,0,0,6,2,1,1,11,0,3,0,5,2,1,2,1,2,3,1,0,1,3,1,2,2,3,3,0,1,1,1,2,0,6,4,3,1,3,3,0,7,4,6,0,1,1,2,6,0,0,4,1,5,4,1,1,1,0,1,4,10,6,1,2,0,4,1,0,3,5,1,0,2,4,2,6,6,3,0,2,3,7,1,1,0,1,0,0,0,3,1,5,0,1,0,0,1,0,2,0,2,0,2,0,1,1,1,0,1,0,1,2,1,0,0,4,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,2,3,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Shakti Kapoor,13,13,85,14,2,1,56,27,14,15,31,4,24,1,29,16,6,4,0,3,2,10,1,5,25,49,73,3,20,1,3,0,3,3,0,80,3,0,1,0,25,7,0,15,2,3,1,9,20,33,10,49,10,3,7,0,3,12,29,46,1,154,12,25,8,0,15,13,2,2,6,9,4,0,7,2,1,5,13,12,28,7,57,8,3,0,15,50,1,0,11,4,12,0,15,3,18,3,1,1,48,12,7,2,12,38,0,2,3,6,2,2,1,4,10,14,2,5,1,18,9,10,2,2,0,1,2,0,0,21,1,3,1,3,1,1,1,2,1,4,1,2,0,1,1,13,1,0,1,1,5,2,0,0,2,1,1,1,1,0,0,1,1,0,0,11,0,1,0,1,2,0,2,1,0,2,1,0,1,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,101,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Urmila Matondkar,1,1,8,3,0,0,0,1,1,0,3,0,0,1,4,1,0,1,3,0,1,1,4,2,4,3,3,2,0,4,0,0,0,1,0,0,3,0,0,0,5,1,0,3,0,0,0,8,1,2,2,4,0,2,0,0,0,6,1,0,1,4,3,3,2,0,3,0,0,1,0,0,0,2,1,1,0,3,0,0,8,0,5,3,3,0,1,10,0,0,2,0,3,0,1,1,0,0,0,1,3,6,2,0,0,11,0,0,1,6,0,0,0,1,0,3,2,1,0,0,1,1,0,0,2,2,2,0,0,5,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nana Patekar,1,4,1,2,0,0,0,1,2,0,2,0,1,0,7,1,0,4,2,1,0,0,1,2,3,3,1,1,4,2,2,0,0,2,0,1,0,0,0,0,3,2,0,0,2,0,1,5,1,2,4,0,1,0,3,0,1,1,1,0,0,1,5,3,0,0,1,2,1,0,1,1,1,1,1,2,1,0,1,0,3,2,4,3,1,2,3,4,0,0,5,0,1,1,0,1,3,0,0,2,0,6,2,1,1,8,0,1,0,5,1,0,1,1,2,5,1,0,0,1,4,1,1,1,1,0,2,0,0,3,1,0,2,0,0,0,0,2,2,1,2,2,0,0,0,1,4,0,1,0,2,0,0,3,1,2,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonali Bendre,1,1,7,1,0,2,0,0,1,0,1,0,4,1,2,3,2,1,10,1,0,0,1,1,3,1,2,1,4,0,0,1,0,1,0,3,1,0,0,0,2,0,0,1,0,0,0,6,0,7,0,3,1,0,0,0,0,3,0,0,1,5,0,2,0,0,0,2,4,1,0,0,0,0,5,3,0,2,1,0,3,0,4,2,0,0,5,7,0,0,1,2,2,2,1,0,0,0,0,5,3,2,0,2,0,5,0,0,0,2,0,1,0,0,1,7,1,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fardeen Khan,2,0,2,1,0,0,1,0,0,0,3,3,0,0,1,1,1,0,1,4,1,1,0,3,0,1,0,2,0,1,2,0,0,0,0,1,1,0,1,0,1,1,5,1,2,0,0,2,0,3,2,1,1,0,1,0,0,2,0,0,1,0,0,2,1,0,0,1,1,0,1,0,3,1,2,2,1,0,1,0,0,0,3,1,1,0,2,6,0,0,4,0,3,0,0,1,1,1,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,1,0,1,0,0,4,1,1,3,2,2,2,3,1,4,1,0,0,0,2,0,0,0,0,0,0,3,1,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aftab Shivdasani,3,0,6,0,0,0,0,2,1,0,3,1,0,0,1,0,1,0,5,2,2,1,3,0,2,1,3,2,1,3,3,1,1,2,0,1,0,0,0,0,2,2,3,4,1,5,0,1,0,2,2,1,0,0,3,0,2,0,2,0,1,3,0,1,2,0,0,0,0,1,2,2,0,3,3,1,1,2,1,2,2,0,8,2,2,0,5,9,0,3,3,0,2,2,0,1,3,3,1,0,3,4,3,0,1,6,0,0,0,2,0,2,0,2,1,9,1,0,0,1,2,1,1,2,1,2,1,0,0,8,5,1,2,1,5,3,1,1,4,2,0,0,0,0,0,3,3,0,0,0,7,1,1,1,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,3,0,0,0,0,0,3,0,1,0,1,0,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tinnu Anand,7,4,16,1,0,1,4,4,7,1,4,1,7,1,11,8,0,3,25,4,3,3,0,2,0,6,12,4,8,1,2,1,0,2,0,13,1,1,0,1,11,1,0,4,0,2,0,5,0,15,4,7,1,2,4,0,7,7,1,3,2,7,6,6,3,3,7,3,0,1,3,5,1,4,1,9,2,1,4,4,10,2,15,9,2,0,8,19,2,1,8,3,5,2,1,2,5,0,2,4,16,14,5,1,0,18,1,1,1,8,2,0,0,2,1,8,4,0,0,6,6,4,0,0,0,0,4,0,0,5,2,1,3,2,1,1,1,1,4,3,2,2,2,0,4,6,0,3,1,0,3,2,0,1,2,2,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,2,2,0,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,1,1,0,1,2,1,1,0,2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Raj Babbar,1,1,19,13,2,1,21,1,3,6,6,3,2,0,6,2,3,0,49,3,3,1,1,1,6,0,25,2,4,2,1,0,0,2,0,10,2,0,0,0,10,2,2,6,0,1,0,3,10,8,2,6,2,0,1,0,2,4,8,11,1,26,13,5,3,1,5,2,0,0,1,2,1,1,3,1,0,1,6,5,12,3,16,6,3,2,5,11,0,0,2,3,4,0,3,0,5,0,0,0,16,13,0,1,0,10,0,0,0,6,4,0,1,4,2,3,0,2,0,3,3,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,3,0,1,1,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Aruna Irani,19,12,40,28,1,2,21,12,6,21,6,0,12,0,14,1,3,2,73,3,1,2,0,3,12,25,0,0,12,0,0,2,1,0,0,34,0,1,4,0,20,0,0,8,2,0,0,7,5,11,8,25,3,3,0,0,2,16,17,56,0,76,8,13,5,0,18,0,0,0,0,0,11,2,3,2,0,2,3,12,18,0,29,3,0,0,9,25,0,1,1,0,2,0,11,0,7,0,0,0,43,6,0,1,8,21,0,0,0,8,3,0,0,0,2,6,0,1,11,10,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Bachchan,15,0,2,0,2,1,0,1,1,1,7,4,1,4,7,3,0,1,3,2,1,1,2,2,4,2,0,0,3,2,6,5,0,1,0,1,3,1,0,0,0,5,4,1,0,0,1,7,0,3,0,1,1,0,2,0,2,2,0,0,0,2,0,1,1,0,3,2,0,1,2,2,0,0,4,4,0,1,0,1,4,2,7,0,2,1,3,4,2,1,5,7,2,1,0,1,3,0,0,0,2,3,3,8,0,3,2,2,3,1,0,0,1,3,3,10,4,0,0,1,4,3,0,2,3,0,1,0,1,2,4,4,4,0,2,1,0,0,7,2,2,4,1,0,0,2,2,1,1,0,5,0,2,5,1,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,4,0,0,2,1,0,0,0,0,0,1,2,0,0,0,2,3,1,3,0,0,1,1,0,1,0,0,1,3,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Mohnish Behl,3,2,15,1,2,2,1,4,7,0,8,1,7,2,4,12,1,3,20,0,4,4,0,1,8,4,12,3,0,2,0,0,2,0,0,6,3,0,1,0,7,2,1,5,2,0,0,7,0,15,5,10,2,0,4,0,1,9,0,1,0,19,1,3,1,1,10,4,2,1,1,1,0,0,4,5,2,2,2,2,8,2,15,2,1,1,10,13,1,1,0,3,2,0,2,1,0,1,0,0,11,6,0,0,1,9,0,0,2,1,0,0,0,0,4,6,0,1,0,16,2,9,1,1,0,1,1,0,0,2,1,0,0,1,1,0,2,0,1,1,0,1,0,0,1,1,0,1,2,0,1,4,0,4,0,0,3,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2,11,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manoj Bajpayee,7,0,2,1,1,0,0,0,3,2,4,3,2,1,3,0,0,3,1,4,2,0,1,3,1,2,0,2,2,0,0,1,0,0,1,0,1,0,0,1,2,0,2,2,1,0,0,6,0,1,2,1,5,0,2,1,0,2,0,0,0,0,0,3,4,0,0,1,1,0,1,1,0,3,2,1,0,1,1,0,1,4,11,0,4,2,5,2,2,2,3,2,4,3,0,4,0,0,0,1,2,6,5,0,0,3,1,0,2,5,0,2,3,3,2,2,5,1,0,5,4,6,0,1,3,0,4,0,0,2,1,1,2,0,0,1,1,1,1,4,1,1,2,1,3,2,1,0,1,1,0,1,0,4,1,1,1,1,1,0,0,6,1,0,0,0,1,6,1,1,1,0,1,1,1,1,0,2,1,1,0,0,0,0,2,1,0,0,4,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,2,0,0,0,2,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,4,0,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
