,Amitabh Bachchan,Madhuri Dixit,Gulshan Grover,Rekha,Hrithik Roshan,Kajol,Dharmendra,Sridevi,Juhi Chawla,Hema Malini,Sanjay Dutt,Kareena Kapoor,Karisma Kapoor,Preity G Zinta,Jackie Shroff,Salman Khan,Twinkle Khanna,Tabu,Shakti Kapoor,Urmila Matondkar,Nana Patekar,Sonali Bendre,Fardeen Khan,Aftab Shivdasani,Tinnu Anand,Raj Babbar,Aruna Irani,Abhishek Bachchan,Mohnish Behl,Manoj Bajpayee,Bipasha Basu,Jaya Bachchan,Bhagyashree Patwardhan,Jaspal Bhatti,Rahul Bose,Mithun Chakraborty,Mahima Chaudhry,Bhoomika Chawla,Randhir Kapoor,Nandita Das,Danny Denzongpa,Bobby Deol,Esha Deol,Sunny Deol,Mukul Dev,Rahul Dev,Prabhu Deva,Ajay Devgn,Poonam Dhillon,Avtar Gill,Vikram Gokhale,Govinda,Milind Gunaji,Kamal Haasan,Vrajesh Hirjee,Randeep Hooda,Jaaved Jaaferi,Farida Jalal,Jaya Prada,Jeetendra,Sharman Joshi,Kader Khan,Dimple Kapadia,Anil Kapoor,Annu Kapoor,Rajat Kapoor,Rishi Kapoor,Supriya Karnik,Kunal Kemmu,Aamir Khan,Arbaaz Khan,Arshad Warsi,Feroz Khan,Irrfan Khan,Saif Ali Khan,Shah Rukh Khan,Sohail Khan,Akshaye Khanna,Mukesh Khanna,Vinod Khanna,Kulbhushan Kharbanda,Sachin Khedekar,Anupam Kher,Manisha Koirala,Isha Koppikar,Atul Kulkarni,Akshay Kumar,Johny Lever,Madhavan,Pawan Malhotra,Sanjay Mishra,Rani Mukerji,Govind Namdeo,Nassar,Neelam Kothari,Manoj Pahwa,Chunky Pandey,Ameesha Patel,Vinay Pathak,Prakash Raj,Amrish Puri,Om Puri,Vijay Raaz,Aishwarya Rai Bachchan,Rajinikanth,Paresh Rawal,Fatima Sana Shaikh,Raima Sen,Sushmita Sen,Naseeruddin Shah,Farooq Shaikh,Kim Sharma,Rajesh Sharma,Jimmy Shergill,Shilpa Shetty Kundra,Suniel Shetty,Saurabh Shukla,Chandrachur Singh,Neetu Singh,Raveena Tandon,Mukesh Tiwari,Ashish Vidyarthi,Gracy Singh,Tusshar Kapoor,Arjun Rampal,Aashish Chaudhary,Yashpal Sharma,Alia Bhatt,Farhan Akhtar,Rajpal Naurang Yadav,Vivek Oberoi,Lara Dutta,Dia Mirza,Riya Sen,Amrita Arora,Aarti Chhabria,Amrita Rao,Sameera Reddy,Boman Irani,Neha Dhupia,Katrina Kaif,Priyanka Chopra Jonas,Konkona Sen Sharma,Koena Mitra,Ranvir Shorey,Manoj Joshi,Rimi Sen,Samir Soni,Uday Tikekar,Sunny Leone,Riteish Deshmukh,Genelia Deshmukh,Zayed Khan,John Abraham,Mallika Sherawat,Shriya Saran,Shahid Kapoor,Celina Jaitly,Sonu Sood,Imran Khan,Emraan Hashmi,Vipin Sharma,Gul Panag,Iqbal Khan,Nayanthara,Raju Srivastava,Kunal Kapoor,Nawazuddin Siddiqui,Shruti Haasan,Ranbir Kapoor,Karishma Tanna,Prabhas,Shreyas Talpade,Soha Ali Khan,Chitrangda Singh,Neil Nitin Mukesh,Ayesha Takia,Vidya Balan,Ashwini Kalsekar,Arjun Kapoor,Asin Thottumkal,Upendra Limaye,Sneha Ullal,Vatsal Sheth,Sophiya Chaudhary,Abhay Deol,Tanushree Dutta,Nimrat Kaur,Kay Kay Menon,Tamannaah Bhatia,Manjari Fadnnis,Minissha Lamba,Sonam Kapoor,Deepika Padukone,Kangana Ranaut,Govardhan Asrani,Sunny Singh,Daisy Shah,Krishna Abhishek,Ileana D'Cruz,Radhika Apte,Aditi Rao Hydari,Nushrratt Bharuccha,Kajal Aggarwal,Jacqueline Fernandez,Pankaj Tripathi,Fawad Khan,Mahie Gill,Bruna Abdullah,Prateik Patil Babbar,Anushka Sharma,Adah Sharma,Aditya Roy Kapoor,Richa Chadha,Kalki Koechlin,Nivetha Thomas,Sidharth Malhotra,Varun Dhawan,Amy Jackson,Esha Gupta,Sudesh Lehri,Sana Khan,Shraddha Kapoor,Samantha Ruth Prabhu,Lisa Haydon,Nargis Fakhri,Kriti Kharbanda,Kainaat Arora,Zareen Khan,Tahir Raj Bhasin,Sushant Singh Rajput,Rajkummar Rao,Ranveer Singh,Sonakshi Sinha,Taapsee Pannu,Sunny Kaushal,Anil Charanjeett,Yami Gautam,Kartik Aaryan,Parineeti Chopra,Sonalee Kulkarni,Vidyut Jammwal,Mouni Roy,Saqib Saleem,Freddy Daruwala,Ayushmann Khurrana,Huma Qureshi,Pulkit Samrat,Lavanya Tripathi,Pooja Hegde,Kriti Sanon,Vikrant Massey,Rhea Chakraborty,Amyra Dastur,Vaani Kapoor,Vicky Kaushal,Urvashi Rautela,Tiger Shroff,Kapil Sharma,Bhumi Pednekar,Kiara Advani,Nora Fatehi,Shriya Pilgaonkar,Mrunal Thakur,Athiya Shetty,Sanya Malhotra,Alaya F,Disha Patani,Sobhita Dhulipala,Siddhant Chaturvedi,Mehreen Pirzada,Nidhhi Agerwal,Rashmika Mandanna,Sara Ali Khan,Janhvi Kapoor
Amitabh Bachchan,,"Shanakht, Pukar","Dudes in the 10th Century, Ganga Devi, Hera Pheri, Kaante, Mard, Zor Lagaa Ke... Haiya!, Family: Ties of Blood, Parwana, People Cover Story: Bachelorette Baby Boom, Aankhen, Saudagar, Hindustan Ki Kasam, The Great Leader","Do Anjaane, Ram Balram, Aakhree Raasta, Yaarana, Khoon Pasina, Alaap, Namak Haraam, Soorma Bhopali, Suhaag, Kasme Vaade, Parineeta, Mr. Natwarlal, Immaan Dharam, Silsila, Muqaddar Ka Sikandar, Paan khaye Saiyan Hamaar, Ganga Ki Saugand","Kabhi Khushi Kabhie Gham..., Agneepath, Jodhaa Akbar, Krrish 3, Hey Bro, Lakshya","Kabhi Khushi Kabhie Gham..., Kabhi Alvida Naa Kehna","Ghulami, Swami, Sholay, Charandas, Ram Balram, Batwara, Dost, Soorma Bhopali, Andhaa Kaanoon, Chupke Chupke, Zulm Ki Hukumat, Jaban, Hum Kaun Hai?","English Vinglish, Khuda Gawah, Aakhree Raasta, Inquilaab","Swami, Saat Rang Ke Sapne, Bond of Love, Bhoothnath, Paheli","Trishul, Tere Mere Sapne, Adalat, Desh Premee, Do Aur Do Paanch, Sadhu Sant, Dost, Gangotri, Ganga, Naseeb, Andhaa Kaanoon, Gehri Chaal, Kasauti, Nastik, Swami, Baghban, Bbuddah... Hoga Terra Baap, Sholay, Garam Masala, Baabul, Aarakshan, Satte Pe Satta, Veer-Zaara","Untitled SRK-Suhana-Marflix movie, Viruddh... Family Comes First, Kaante, Agneepath, Aladin, Rudraksh, Let's Bring Our Heroes Home, Eklavya: The Royal Guard, Parineeta, Shootout at Lokhandwala, Zanjeer, Hum Kisi Se Kum Nahin, Department, Reshma and Shera, Ek Ajnabee","Kabhi Khushi Kabhie Gham..., Don, Ki & Ka, Dev, Khushi, Satyagraha","Zamaanat: And Justice for All, Suhaag, Bond of Love, Mrityudaata","Jhoom Barabar Jhoom, Armaan, The Last Lear, Kabhi Alvida Naa Kehna, Veer-Zaara, Lakshya","Mahabharat, Mili, Teen Patti, Akayla, Sarkar 3, People Cover Story: Bachelorette Baby Boom, Saudagar, Eklavya: The Royal Guard, Kohram, Agnivarsha: The Fire and the Rain, Laawaris","God Tussi Great Ho, Baghban, Baabul, Hello Brother",,"Untitled SRK-Suhana-Marflix movie, Cheeni Kum, Hera Pheri, Kohram","Lal Baadshah, Hero Hindustani, Zulm Ki Hukumat, Hello Brother, Zameer, Naseeb, Mard, Hindustan Ki Kasam, Inquilaab, Bond of Love, Geraftaar, Zanjeer, Teen Patti, Armaan, Jurmana, Mahaan, Satte Pe Satta, Boss, Aankhen",Ram Gopal Varma Ki Aag,Kohram,Major Saab,"Dev, Khushi","Nishabd, Insaniyat, Shahenshah","Teen Patti, Agneepath, Ajooba, Zamaanat: And Justice for All, Saat Rang Ke Sapne, Shahenshah, Kyun! Ho Gaya Na...","Armaan, Bunty Aur Babli, Mahabharat, Aankhen","Tere Mere Sapne, Deewaar, Saat Rang Ke Sapne, Bemisal, Bombay to Goa, Sanjog, Ram Balram, Insaniyat, Yaarana, Suhaag, Commander, Gangotri, Khoon Pasina, Gangaa Jamunaa Saraswathi, Geraftaar, Yaar Meri Zindagi, Mili, Garam Masala, Soorma Bhopali, Shahenshah, Roti Kapada Aur Makaan, Mahaan","Delhi-6, Sarkar Raj, Paa, Sarkar, Mumbai Se Aaya Mera Dost, Bunty Aur Babli, Sarkar 3, Jhoom Barabar Jhoom, Shamitabh, Shootout at Lokhandwala, Bol Bachchan, Kabhi Alvida Naa Kehna, Ram Gopal Varma Ki Aag, Ek Ajnabee, Ghoomer","Bond of Love, Krrish 3, Rann","Swami, Mahabharat, Aks, Sarkar 3, Aarakshan, Veer-Zaara, Satyagraha","Aetbaar, Viruddh... Family Comes First, Rudraksh, Darna Zaroori Hai, Aankhen","Kabhi Khushi Kabhie Gham..., Bawarchi, Ganga Devi, Paa, Abhimaan, Bansi Birju, Mili, Ki & Ka, Sholay, Ek Nazar, Akka, Chupke Chupke, Zanjeer, Piya Ka Ghar, Silsila, The Great Leader",,,,"Ghulami, Do Anjaane, Agneepath, Mard, Zor Lagaa Ke... Haiya!, Sadhu Sant, Dost, Kaalia, Jurmana, Benaam, Gangaa Jamunaa Saraswathi, Coolie, Boss","Baghban, Zameer","Family: Ties of Blood, Khushi, Dil Jo Bhi Kahey..., Gangotri","Armaan, Kasme Vaade, Pukar",Aks,"Kanoon Kya Karega, Agneepath, Karishmaa, Soorma Bhopali, Andhaa Kaanoon, Hum, Khuda Gawah, Kohram, Boss, Pukar, Ab Tumhare Hawale Watan Saathiyo, Uunchai, Dil Jo Bhi Kahey...","Ab Tumhare Hawale Watan Saathiyo, Jhoom Barabar Jhoom",,"Mahabharat, Insaniyat, Crime Patrol Dial 100",Kohram,Jurmana,"Hey Bro, Boss, Agnivarsha: The Fire and the Rain","Major Saab, Mahabharat, Teen Patti, Hindustan Ki Kasam, Suhaag, Runway 34, Parwana, Hey Bro, Khakee, Hum Kisi Se Kum Nahin, Bol Bachchan, Ram Gopal Varma Ki Aag, Zameer, Satyagraha","Trishul, Batwara, Geraftaar, Kaala Patthar","Ghulami, Major Saab, Baghban, Bade Miyan Chote Miyan, Agneepath, Batwara, Main Azaad Hoon, Baabul, Shahenshah, Bond of Love, Kohram, Mrityudaata, Hum Kisi Se Kum Nahin, Kasme Vaade, Indrajeet, Wazir","Agneepath, Akayla, Parwana, AB Aani CD, Khuda Gawah, Hum Kaun Hai?","Bade Miyan Chote Miyan, Zulm Ki Hukumat, Hum, Aankhen, Hey Bro, Naseeb","Dev, The Ghazi Attack","Kalki 2898-AD, Geraftaar, Karishmaa, Vyjayanthi Movies/Amitabh Bachchan Project","Bond of Love, Mahabharat, Aks","Mard, Darna Zaroori Hai","Jaadugar, Soorma Bhopali, Besharam, People Cover Story: Bachelorette Baby Boom","Kabhi Khushi Kabhie Gham..., Dudes in the 10th Century, Don, Charandas, Alaap, Pyar Ki Kahani, Yaarana, Saat Rang Ke Sapne, The Chess Players, Compulsed, Jurmana, Mrityudaata, Pukar, Hindustan Ki Kasam, Ganga Ki Saugand","Sanjog, Jaadugar, Aakhree Raasta, Insaniyat, Sharaabi, Aaj Ka Arjun, Gangaa Jamunaa Saraswathi, Kohram, Khakee, Indrajeet","Garam Masala, Sanjog, Gehri Chaal",,"Hero Hindustani, Parwana, Parvarish, Adalat, Hum, Coolie, Desh Premee, Don, Do Aur Do Paanch, Suhaag, Yaarana, Dost, Naseeb, Dudes in the 10th Century, Mard, Inquilaab, Khoon Pasina, Aankhen, Benaam, Geraftaar, Mr. Natwarlal, Family: Ties of Blood, Indrajeet, Muqaddar Ka Sikandar, Bade Miyan Chote Miyan, Kaalia, Soorma Bhopali, Shahenshah, Mahaan, Satte Pe Satta, Hindustan Ki Kasam, Sooryavansham","Ajooba, Batwara, Brahmastra Part One: Shiva, Mrityudaata, Hum Kaun Hai?, Laawaris","Mahabharat, Shakti, Darna Zaroori Hai, Armaan, Pukar","Kaala Patthar, Main Azaad Hoon, Chehre, Dost, Hum, Hum Kisi Se Kum Nahin",Rann,"Naseeb, Agneepath, Ajooba, Besharam, 102 Not Out, Kabhi Kabhie, Amar Akbar Anthony, Coolie, Delhi-6","Hum Kisi Se Kum Nahin, Zameer",,"Thugs of Hindostan, Lagaan: Once Upon a Time in India","Shootout at Lokhandwala, Hello Brother","Tere Mere Sapne, Zamaanat: And Justice for All, Hero Hindustani",,"Tere Mere Sapne, Piku, Zameer","Aarakshan, Eklavya: The Royal Guard, Parineeta","Kabhi Khushi Kabhie Gham..., Kabhi Alvida Naa Kehna, Don, Brahmastra Part One: Shiva, Bhoothnath, Bhoothnath Returns, Mohabbatein, Veer-Zaara, Paheli","God Tussi Great Ho, Hello Brother","Let's Bring Our Heroes Home, Laawaris","Saudagar, Mahabharat, Hera Pheri, Insaniyat","Kunwara Baap, Hera Pheri, Batwara, Khoon Pasina, Parvarish, Amar Akbar Anthony, Reshma and Shera, Muqaddar Ka Sikandar, Zameer","Ghulami, Major Saab, Hera Pheri, Lagaan: Once Upon a Time in India, Shaan, Jodhaa Akbar, Batwara, Shakti, Geraftaar, Pukar, Silsila, Zameer","Abhimaan, Viruddh... Family Comes First, Agneepath, Zor Lagaa Ke... Haiya!, Krrish 3, Lakshya","Mahabharat, Sarkar, Sooryavansham, Bade Miyan Chote Miyan, Zamaanat: And Justice for All, Main Azaad Hoon, Aakhree Raasta, Insaniyat, Saat Rang Ke Sapne, Aaj Ka Arjun, Saudagar, Hum, God Tussi Great Ho, Uunchai, Mohabbatein, Veer-Zaara, Paheli","Hindustan Ki Kasam, Saudagar, Laawaris, Lal Baadshah","Darna Zaroori Hai, Don, Kaante, Rudraksh","The Ghazi Attack, Khakee, Zanjeer, Delhi-6","Hera Pheri, Bade Miyan Chote Miyan, Garam Masala, Suhaag, Family: Ties of Blood, Aankhen, Waqt: The Race Against Time, Bond of Love, Khakee, Boss, Ab Tumhare Hawale Watan Saathiyo, Hey Bro","Kabhi Khushi Kabhie Gham..., Mard, Jaadugar, Main Azaad Hoon, Khushi, Kaalia, Soorma Bhopali, Benaam, Boss, Laawaris, Hello Brother",Teen Patti,"Don, Delhi-6","Bunty Aur Babli, Ishq Chakallas, God Tussi Great Ho, Boss, Bhoothnath Returns","Kabhi Khushi Kabhie Gham..., Bunty Aur Babli, Black, Baabul, Kabhi Alvida Naa Kehna, Hello Brother, Veer-Zaara, Paheli","Abhimaan, Sarkar Raj, Zamaanat: And Justice for All, Aankhen, Boss, Pukar, Ab Tumhare Hawale Watan Saathiyo, Laawaris","Nishabd, Don, Khushi, Sye Raa Narasimha Reddy, The Ghazi Attack, Boss","Indrajeet, Agneepath","Tere Mere Sapne, Darna Zaroori Hai, Mili","Don, Mumbai Se Aaya Mera Dost, Insaniyat, Begum Jaan, Aankhen","Zameer, Parwana",,"Toofan, Bbuddah... Hoga Terra Baap, Zamaanat: And Justice for All, Dev, Six Suspects, Dost, Zanjeer, Gangotri, Khakee","Lal Baadshah, Jaadugar, Friendship, Batwara, Coolie, Immaan Dharam, Mohabbatein, Dev, Khushi, Sadhu Sant, Saudagar, Naseeb, Lakshya, Ajooba, Hindustan Ki Kasam, Andhaa Kaanoon, Aaj Ka Arjun, Gangaa Jamunaa Saraswathi, Reshma and Shera, Shahenshah, Shakti, Ab Tumhare Hawale Watan Saathiyo","Lakshya, Hera Pheri, Don, Agneepath, Dev, Baabul, Kyun! Ho Gaya Na..., The Ghazi Attack, Pukar, Delhi-6","Gulabo Sitabo, Aks, 102 Not Out, Department, Delhi-6","Sarkar Raj, Jodhaa Akbar, Bunty Aur Babli, Kyun! Ho Gaya Na..., Khakee, Hum Kisi Se Kum Nahin, Mohabbatein","Hum, Geraftaar, Thalaivar170, Andhaa Kaanoon","Cheeni Kum, Dudes in the 10th Century, Baghban, Hera Pheri, Paa, Bade Miyan Chote Miyan, Hero Hindustani, Garam Masala, Zulm Ki Hukumat, Mrityudaata, Hum Kisi Se Kum Nahin, Aankhen, Rann","Zamaanat: And Justice for All, Crime Patrol, Thugs of Hindostan","Dudes in the 10th Century, Teen Patti, Shakti, Eklavya: The Royal Guard, Parineeta","Hindustan Ki Kasam, Ram Gopal Varma Ki Aag, Aankhen","Ghulami, Krrish 3, Begum Jaan, Paheli","The Chess Players, Soorma Bhopali, Toofan",Mohabbatein,"Wah Taj, Begum Jaan, Ishq Chakallas, Firangi, Parineeta","Eklavya: The Royal Guard, Mohabbatein",Lal Baadshah,"Hera Pheri, Kaante, Rudraksh, Darna Zaroori Hai, Kyun! Ho Gaya Na..., Shootout at Lokhandwala, Paheli","Aarakshan, Mohabbatein",Tere Mere Sapne,"Kaala Patthar, The Great Gambler, Deewaar, Yaarana, Besharam, Kabhi Kabhie, Parvarish, Amar Akbar Anthony, Adalat, Kasme Vaade","Bade Miyan Chote Miyan, Bbuddah... Hoga Terra Baap, Insaniyat, Aks, Agnivarsha: The Fire and the Rain","Aarakshan, Boss","Major Saab, Dudes in the 10th Century, Black, Bond of Love, Begum Jaan, Benaam, Mrityudaata, Hum Kisi Se Kum Nahin, Goodbye","Armaan, Lagaan: Once Upon a Time in India","Shootout at Lokhandwala, Khakee","Don, Darna Zaroori Hai, The Last Lear, Aankhen, Kabhi Alvida Naa Kehna, Ek Ajnabee, Satyagraha","Dev, Bhoothnath","Mumbai Se Aaya Mera Dost, Aarakshan, Pukar, Lagaan: Once Upon a Time in India",Brahmastra Part One: Shiva,"Sye Raa Narasimha Reddy, Don, Wazir, Lakshya","Garam Masala, Insaaf: The Justice, Baabul, Waqt: The Race Against Time, God Tussi Great Ho, Bhoothnath, Darna Zaroori Hai, Hum Kisi Se Kum Nahin, Krrish 3, Ram Gopal Varma Ki Aag, Rann, Paheli","Kyun! Ho Gaya Na..., Shootout at Lokhandwala, Krrish 3","Mumbai Se Aaya Mera Dost, Jhoom Barabar Jhoom, Khakee, Ek Ajnabee","Kyun! Ho Gaya Na..., Parineeta, Shootout at Lokhandwala",Zor Lagaa Ke... Haiya!,,"Ab Tumhare Hawale Watan Saathiyo, Shootout at Lokhandwala","Let's Bring Our Heroes Home, Satyagraha",,"Don, Aladin, Runway 34, People Cover Story: Bachelorette Baby Boom, Waqt: The Race Against Time, Eklavya: The Royal Guard, Uunchai, Bhoothnath Returns, Veer-Zaara, Lakshya","Garam Masala, Shootout at Lokhandwala","Thugs of Hindostan, Sarkar, Agneepath, People Cover Story: Bachelorette Baby Boom","Don, Agneepath, Toofan, Waqt: The Race Against Time, God Tussi Great Ho, Zanjeer, Krrish 3",,,Lakshya,"Jaadugar, Garam Masala","Garam Masala, Baghban","Baghban, Chehre",Shamitabh,,"Aladin, Darna Zaroori Hai, Rann, Untitled SRK-Suhana-Marflix movie",,,"Aetbaar, Viruddh... Family Comes First, Garam Masala, Baabul, Kabhi Alvida Naa Kehna, Wazir",Darna Zaroori Hai,"Manam, Baabul, Boss",,,"Jodhaa Akbar, Bbuddah... Hoga Terra Baap",,"Chehre, Section 84",Satyagraha,Rann,Dudes in the 10th Century,"Sye Raa Narasimha Reddy, Boss",,Aks,"Te3n, Family: Ties of Blood, Ghoomketu",,"Besharam, Bhoothnath Returns, Brahmastra Part One: Shiva, Black",,"Kalki 2898-AD, Vyjayanthi Movies/Amitabh Bachchan Project","Aankhen, Wah Taj",,,Wazir,,"Untitled SRK-Suhana-Marflix movie, Mahabharat, Paa, Begum Jaan, Te3n, Eklavya: The Royal Guard, Parineeta",Khakee,Ki & Ka,Bol Bachchan,Sarkar Raj,,,,,,Section 84,"Let's Bring Our Heroes Home, The Ghazi Attack, Sarkar, Lakshya",Sye Raa Narasimha Reddy,Wah Taj,,Delhi-6,"Vyjayanthi Movies/Amitabh Bachchan Project, Brahmastra Part One: Shiva, The Intern, Aarakshan, Kalki 2898-AD, Piku",Krrish 3,"Raaste Kaa Patthar, Hero Hindustani, Sanjog, Dost, Bawarchi, Hera Pheri, Abhimaan, Khoon Pasina, Namak Haraam, Chupke Chupke, Andhaa Kaanoon, Aaj Ka Arjun, Piya Ka Ghar, Bol Bachchan, Baghban, Mili, Bade Miyan Chote Miyan, Sholay, Balika Badhu, Garam Masala, Alaap, Jurmana",,"Department, Garam Masala",Bol Bachchan,Amar Akbar Anthony,,"Boss, Wazir, Delhi-6",,Kyun! Ho Gaya Na...,Aladin,"Lakshya, Agneepath",Armaan,"Hey Bro, Zanjeer",,"Aarakshan, Six Suspects",,,,Ghoomketu,,,Aankhen 2,Dabba Gul,,,,,Teen Patti,Manam,,,,Faraar,,,,Rann,Hey Bro,"Bade Miyan Chote Miyan, Boss","Pink, The Ghazi Attack, Badla",Mili,,Sarkar 3,,Uunchai,,,Brahmastra Part One: Shiva,,,Gulabo Sitabo,,,,,Ganapath,,Chehre,,,,,"Ganapath, Bade Miyan Chote Miyan",Firangi,,,,,,,,Bade Miyan Chote Miyan,"Kalki 2898-AD, Vyjayanthi Movies/Amitabh Bachchan Project",,,,,Goodbye,,"Mili, Bade Miyan Chote Miyan"
Madhuri Dixit,"Shanakht, Pukar",,"Maha-Sangram, Lajja, Hifazat, Khatron Ke Khiladi, Khel, Maanav Hatya, Ram Lakhan, Mujrim, Kanoon Apna Apna",Lajja,,,"Vardi, Paappi Devataa, Khatron Ke Khiladi, Ilaaka",Karma,Gulaab Gang,"Anjaam, Jamai Raja, Paap Ka Ant","Kalank, Sahibaan, Thanedaar, Mahaanta: The Film, Ilaaka, Khatron Ke Khiladi, Saajan, Jai Devaa, Khalnayak, Kanoon Apna Apna",,Dil To Pagal Hai,"Comedy Nights Live, Yeh Raaste Hain Pyaar Ke","Vardi, Sangeet, Tridev, Karma, Devdas, Prem Deewane, Total Dhamaal, Lajja, 100 Days, Uttar Dakshin, Parinda, Ram Lakhan, Khalnayak","Dil Tera Aashiq, Saajan, Hum Tumhare Hain Sanam, Hum Aapke Hain Koun..!",,,"Dil Tera Aashiq, Karma, Izzatdaar, Mahaanta: The Film, Maha-Sangram, Hifazat, Khatron Ke Khiladi, Zindagi Ek Juaa, Phool, Mohabbat, Mujrim, Jamai Raja, Pyar Ka Devta, Yaraana",Lajja,"Mohre, Wajood, Prahaar: The Final Attack, Parinda",Lajja,,,"Anjaam, Karma, Sahibaan, Dayavan, Lajja","Khatron Ke Khiladi, Yaraana","Aasoo Bane Angaarey, Sangeet, Khilaaf, Dayavan, Hum Tumhare Hain Sanam, Beta, Pratikar, Aarzoo, Prem Pratigyaa, Dil To Pagal Hai, Pyar Ka Devta, Mohabbat, Rajkumar",,"Hum Aapke Hain Koun..!, Koyla",,,,,,,"Ilaaka, Prem Pratigyaa, Khatron Ke Khiladi, Jai Devaa, Mujrim, Pyar Ka Devta",Lajja,,"PremGranth, Pukar",,"Pukar, Jai Devaa, Lajja, Rajkumar",,,"Vardi, Tridev, Yeh Raaste Hain Pyaar Ke, Khel",Wajood,,,"Total Dhamaal, Yeh Raaste Hain Pyaar Ke, Lajja, Dhamaal 4","Mahaanta: The Film, Karma","Mujrim, Ilaaka",Yeh Raaste Hain Pyaar Ke,"Maha-Sangram, Paap Ka Ant, Izzatdaar",Devdas,,,Comedy Nights Live,"Total Dhamaal, 100 Days","Lajja, Dil To Pagal Hai, Gaja Gamini, Pukar, Mohabbat, Rajkumar","Thanedaar, Paappi Devataa","Aasoo Bane Angaarey, Paappi Devataa, Mahaanta: The Film, Thanedaar",Lajja,"Vardi, Dil Tera Aashiq, Kishen Kanhaiya, Hifazat, Saajan, Gharwali Baharwali, Kanoon Apna Apna, Pyar Ka Devta, Yaraana","Prahaar: The Final Attack, Ram Lakhan","Jeevan Ek Sanghursh, Parinda, Ram Lakhan, Jamai Raja, Rajkumar, Karma, Dhamaal 4, Total Dhamaal, Beta, Tezaab, Khel, Dharavi, Gharwali Baharwali, Hifazat, Zindagi Ek Juaa, Pukar, Kishen Kanhaiya, Lajja, Pratikar, Mohabbat","Jamai Raja, Tezaab, Ram Lakhan",,"PremGranth, Yaraana, Sahibaan","Beta, Khel",Kalank,"Deewana Mujh Sa Nahin, Dil",,"Total Dhamaal, Dedh Ishqiya","Anjaam, Dayavan",Aaja Nachle,Aarzoo,"Anjaam, Koyla, Devdas, Hum Tumhare Hain Sanam, Dil To Pagal Hai, Gaja Gamini",,"Mohabbat, Aaja Nachle",Raja,"Dayavan, Maha-Sangram","Uttar Dakshin, Pukar, Sailaab",Sailaab,"Jeevan Ek Sanghursh, Tridev, Khilaaf, Uttar Dakshin, Parinda, Ram Lakhan, Khalnayak, Jamai Raja, Dil Tera Aashiq, Karma, Izzatdaar, Beta, Tezaab, Khel, Kanoon Apna Apna, Mohre, Hum Aapke Hain Koun..!, Dil, Zindagi Ek Juaa, Paap Ka Ant, Aasoo Bane Angaarey, Dayavan, PremGranth",Lajja,,,"Aarzoo, Jamai Raja, Dil To Pagal Hai","Aasoo Bane Angaarey, Anjaam, Koyla, Dil, Total Dhamaal, Kishen Kanhaiya, Lajja, Ilaaka, Tezaab, Wajood, Mujrim",,,"Wajood, Total Dhamaal, Rajkumar",,"PremGranth, Lajja, Pukar",,Khatron Ke Khiladi,"Total Dhamaal, Dedh Ishqiya","Khilaaf, Khatron Ke Khiladi, Tezaab",,Aaja Nachle,Dil,"Tridev, Koyla, Paappi Devataa, Mahaanta: The Film, Dayavan, Aarzoo, Ilaaka, Kishen Kanhaiya, Zindagi Ek Juaa, Ram Lakhan, Mohabbat, Mujrim","Ilaaka, PremGranth, Pukar, Dharavi, Death Sentence",Dedh Ishqiya,"Hum Tumhare Hain Sanam, Devdas",Uttar Dakshin,"Vardi, Jeevan Ek Sanghursh, Mahaanta: The Film, Aarzoo, Pratikar, Raja, Uttar Dakshin, Khatron Ke Khiladi, Ram Lakhan",,,,"Tridev, Karma, Dedh Ishqiya, Gaja Gamini, Rajkumar","Mohabbat, Gharwali Baharwali, Yeh Jawaani Hai Deewani",,,,,Khel,,,,Gharwali Baharwali,,Gaja Gamini,,,,Wajood,"Aaja Nachle, Zindagi Ek Juaa, Pukar",Kalank,,Total Dhamaal,,,,,,Lajja,,,Total Dhamaal,,,Red White & Bollywood,Aaja Nachle,,Aaja Nachle,Devdas,,Lajja,,,Total Dhamaal,,,,,,Dil To Pagal Hai,Khel,Raja,,,,,,,,Aaja Nachle,Aaja Nachle,,"Yeh Jawaani Hai Deewani, Bucket List",,,,,,,,,,,,,,,,,,,,,,,,Yeh Jawaani Hai Deewani,,"Dil Tera Aashiq, Izzatdaar, Pratikar, Lajja, Gharwali Baharwali, Paap Ka Ant, Pyar Ka Devta",,,Comedy Nights Live,,,,,Comedy Nights Live,Comedy Nights Live,,,,,,,,"Yeh Jawaani Hai Deewani, Kalank",,Yeh Jawaani Hai Deewani,,,Kalank,,Total Dhamaal,"Total Dhamaal, Comedy Nights Live",,Comedy Nights Live,,,,,,,,,,,"Total Dhamaal, Kalank",,,,,,,,,,,,,Dedh Ishqiya,,,,Kalank,,,,,,,Comedy Nights Live,,,Kalank,,,,,,,,,,,,,,
