source,target,value
Amitabh Bachchan,Nawazuddin Siddiqui,3
Amitabh Bachchan,Ranbir Kapoor,3
Amitabh Bachchan,Prabhas,2
Amitabh Bachchan,Shreyas Talpade,2
Amitabh Bachchan,Neil Nitin Mukesh,1
Amitabh Bachchan,Vidya Balan,7
Amitabh Bachchan,Ashwini Kalsekar,1
Amitabh Bachchan,Arjun Kapoor,1
Amitabh Bachchan,Asin Thottumkal,1
Amitabh Bachchan,Upendra Limaye,1
Amitabh Bachchan,Nimrat Kaur,1
Amitabh Bachchan,Kay Kay Menon,3
Amitabh Bachchan,Tamannaah Bhatia,1
Amitabh Bachchan,Manjari Fadnnis,1
Amitabh Bachchan,Sonam Kapoor,1
Amitabh Bachchan,Deepika Padukone,6
Amitabh Bachchan,Kangana Ranaut,1
Amitabh Bachchan,Govardhan Asrani,19
Amitabh Bachchan,Daisy Shah,1
Amitabh Bachchan,Krishna Abhishek,1
Amitabh Bachchan,Aditi Rao Hydari,3
Amitabh Bachchan,Kajal Aggarwal,1
Amitabh Bachchan,Jacqueline Fernandez,1
Amitabh Bachchan,Pankaj Tripathi,1
Amitabh Bachchan,Mahie Gill,1
Amitabh Bachchan,Prateik Patil Babbar,2
Amitabh Bachchan,Richa Chadha,1
Amitabh Bachchan,Sidharth Malhotra,1
Amitabh Bachchan,Varun Dhawan,1
Amitabh Bachchan,Shraddha Kapoor,1
Amitabh Bachchan,Samantha Ruth Prabhu,1
Amitabh Bachchan,Rajkummar Rao,1
Amitabh Bachchan,Ranveer Singh,1
Amitabh Bachchan,Sonakshi Sinha,1
Amitabh Bachchan,Taapsee Pannu,3
Amitabh Bachchan,Yami Gautam,1
Amitabh Bachchan,Parineeti Chopra,1
Amitabh Bachchan,Mouni Roy,1
Amitabh Bachchan,Ayushmann Khurrana,1
Amitabh Bachchan,Kriti Sanon,1
Amitabh Bachchan,Rhea Chakraborty,1
Amitabh Bachchan,Tiger Shroff,1
Amitabh Bachchan,Kapil Sharma,1
Amitabh Bachchan,Disha Patani,2
Amitabh Bachchan,Rashmika Mandanna,1
Madhuri Dixit,Gulshan Grover,8
Madhuri Dixit,Rekha,1
Madhuri Dixit,Dharmendra,4
Madhuri Dixit,Sridevi,1
Madhuri Dixit,Juhi Chawla,1
Madhuri Dixit,Hema Malini,2
Madhuri Dixit,Sanjay Dutt,10
Madhuri Dixit,Karisma Kapoor,1
Madhuri Dixit,Preity G Zinta,2
Madhuri Dixit,Jackie Shroff,13
Madhuri Dixit,Salman Khan,4
Madhuri Dixit,Shakti Kapoor,13
Madhuri Dixit,Urmila Matondkar,1
Madhuri Dixit,Nana Patekar,4
Madhuri Dixit,Sonali Bendre,1
Madhuri Dixit,Tinnu Anand,4
Madhuri Dixit,Raj Babbar,1
Madhuri Dixit,Aruna Irani,12
Madhuri Dixit,Mohnish Behl,2
Madhuri Dixit,Mithun Chakraborty,5
Madhuri Dixit,Mahima Chaudhry,1
Madhuri Dixit,Randhir Kapoor,1
Madhuri Dixit,Danny Denzongpa,4
Madhuri Dixit,Sunny Deol,3
Madhuri Dixit,Mukul Dev,1
Madhuri Dixit,Ajay Devgn,4
Madhuri Dixit,Poonam Dhillon,2
Madhuri Dixit,Avtar Gill,2
Madhuri Dixit,Vikram Gokhale,1
Madhuri Dixit,Govinda,3
Madhuri Dixit,Milind Gunaji,1
Madhuri Dixit,Randeep Hooda,1
Madhuri Dixit,Jaaved Jaaferi,2
Madhuri Dixit,Farida Jalal,6
Madhuri Dixit,Jaya Prada,2
Madhuri Dixit,Jeetendra,4
Madhuri Dixit,Sharman Joshi,1
Madhuri Dixit,Kader Khan,9
Madhuri Dixit,Dimple Kapadia,2
Madhuri Dixit,Anil Kapoor,19
Madhuri Dixit,Annu Kapoor,3
Madhuri Dixit,Rishi Kapoor,3
Madhuri Dixit,Kunal Kemmu,1
Madhuri Dixit,Aamir Khan,2
Madhuri Dixit,Arshad Warsi,2
Madhuri Dixit,Feroz Khan,1
Madhuri Dixit,Irrfan Khan,1
Madhuri Dixit,Saif Ali Khan,1
Madhuri Dixit,Shah Rukh Khan,6
Madhuri Dixit,Akshaye Khanna,2
Madhuri Dixit,Mukesh Khanna,1
Madhuri Dixit,Vinod Khanna,2
Madhuri Dixit,Kulbhushan Kharbanda,3
Madhuri Dixit,Anupam Kher,23
Madhuri Dixit,Manisha Koirala,1
Madhuri Dixit,Akshay Kumar,2
Madhuri Dixit,Johny Lever,11
Madhuri Dixit,Sanjay Mishra,3
Madhuri Dixit,Govind Namdeo,3
Madhuri Dixit,Neelam Kothari,1
Madhuri Dixit,Manoj Pahwa,2
Madhuri Dixit,Chunky Pandey,3
Madhuri Dixit,Vinay Pathak,1
Madhuri Dixit,Amrish Puri,11
Madhuri Dixit,Om Puri,5
Madhuri Dixit,Vijay Raaz,1
Madhuri Dixit,Aishwarya Rai Bachchan,2
Madhuri Dixit,Rajinikanth,1
Madhuri Dixit,Paresh Rawal,9
Madhuri Dixit,Naseeruddin Shah,5
Madhuri Dixit,Farooq Shaikh,2
Madhuri Dixit,Raveena Tandon,1
Madhuri Dixit,Ashish Vidyarthi,1
Madhuri Dixit,Yashpal Sharma,3
Madhuri Dixit,Alia Bhatt,1
Madhuri Dixit,Rajpal Naurang Yadav,1
Madhuri Dixit,Aarti Chhabria,1
Madhuri Dixit,Boman Irani,1
Madhuri Dixit,Priyanka Chopra Jonas,1
Madhuri Dixit,Konkona Sen Sharma,1
Madhuri Dixit,Ranvir Shorey,1
