source,target,value
Tabu,Nana Patekar,4
Tabu,Sonali Bendre,1
Tabu,Tinnu Anand,3
Tabu,Aruna Irani,2
Tabu,Abhishek Bachchan,1
Tabu,Mohnish Behl,3
Tabu,Manoj Bajpayee,3
Tabu,Jaspal Bhatti,1
Tabu,Rahul Bose,2
Tabu,Mahima Chaudhry,2
Tabu,Bhoomika Chawla,1
Tabu,Danny Denzongpa,3
Tabu,Sunny Deol,6
Tabu,Mukul Dev,2
Tabu,Rahul Dev,1
Tabu,Prabhu Deva,1
Tabu,Ajay Devgn,11
Tabu,Avtar Gill,3
Tabu,Govinda,5
Tabu,Milind Gunaji,2
Tabu,Kamal Haasan,1
Tabu,Vrajesh Hirjee,2
Tabu,Randeep Hooda,1
Tabu,Jaaved Jaaferi,2
Tabu,Farida Jalal,3
Tabu,Jaya Prada,1
Tabu,Sharman Joshi,1
Tabu,Kader Khan,3
Tabu,Dimple Kapadia,1
Tabu,Anil Kapoor,2
Tabu,Annu Kapoor,2
Tabu,Rajat Kapoor,3
Tabu,Rishi Kapoor,3
Tabu,Kunal Kemmu,1
Tabu,Aamir Khan,1
Tabu,Arbaaz Khan,1
Tabu,Arshad Warsi,2
Tabu,Irrfan Khan,6
Tabu,Saif Ali Khan,4
Tabu,Shah Rukh Khan,3
Tabu,Sohail Khan,1
Tabu,Akshaye Khanna,3
Tabu,Mukesh Khanna,3
Tabu,Kulbhushan Kharbanda,7
Tabu,Sachin Khedekar,4
Tabu,Anupam Kher,6
Tabu,Isha Koppikar,1
Tabu,Atul Kulkarni,1
Tabu,Akshay Kumar,2
Tabu,Johny Lever,6
Tabu,Sanjay Mishra,4
Tabu,Rani Mukerji,1
Tabu,Govind Namdeo,5
Tabu,Nassar,4
Tabu,Neelam Kothari,1
Tabu,Manoj Pahwa,1
Tabu,Chunky Pandey,1
Tabu,Vinay Pathak,1
Tabu,Prakash Raj,4
Tabu,Amrish Puri,10
Tabu,Om Puri,6
Tabu,Vijay Raaz,1
Tabu,Aishwarya Rai Bachchan,2
Tabu,Paresh Rawal,4
Tabu,Fatima Sana Shaikh,1
Tabu,Sushmita Sen,3
Tabu,Naseeruddin Shah,5
Tabu,Farooq Shaikh,1
Tabu,Rajesh Sharma,2
Tabu,Jimmy Shergill,4
Tabu,Shilpa Shetty Kundra,2
Tabu,Suniel Shetty,6
Tabu,Saurabh Shukla,6
Tabu,Chandrachur Singh,3
Tabu,Raveena Tandon,2
Tabu,Mukesh Tiwari,3
Tabu,Ashish Vidyarthi,7
Tabu,Gracy Singh,1
Tabu,Tusshar Kapoor,1
Tabu,Aashish Chaudhary,1
Tabu,Rajpal Naurang Yadav,3
Tabu,Vivek Oberoi,1
Tabu,Lara Dutta,5
Tabu,Riya Sen,1
Tabu,Amrita Rao,1
Tabu,Boman Irani,2
Tabu,Katrina Kaif,2
Tabu,Konkona Sen Sharma,2
Tabu,Ranvir Shorey,1
Tabu,Manoj Joshi,1
Tabu,Rimi Sen,1
Tabu,Uday Tikekar,1
Tabu,Riteish Deshmukh,1
Tabu,Genelia Deshmukh,2
Tabu,Zayed Khan,1
Tabu,Shriya Saran,4
Tabu,Shahid Kapoor,1
Tabu,Celina Jaitly,1
Tabu,Sonu Sood,1
Tabu,Raju Srivastava,1
Tabu,Kunal Kapoor,1
Tabu,Nawazuddin Siddiqui,1
Tabu,Shruti Haasan,1
Tabu,Shreyas Talpade,1
Tabu,Neil Nitin Mukesh,2
Tabu,Vidya Balan,2
Tabu,Ashwini Kalsekar,3
Tabu,Arjun Kapoor,1
Tabu,Upendra Limaye,1
Tabu,Vatsal Sheth,2
Tabu,Kay Kay Menon,2
Tabu,Govardhan Asrani,2
Tabu,Sunny Singh,1
Tabu,Daisy Shah,2
Tabu,Radhika Apte,1
Tabu,Aditi Rao Hydari,1
Tabu,Bruna Abdullah,1
Tabu,Aditya Roy Kapoor,1
Tabu,Sudesh Lehri,1
Tabu,Sana Khan,1
Tabu,Shraddha Kapoor,1
Tabu,Rajkummar Rao,1
Tabu,Anil Charanjeett,1
Tabu,Kartik Aaryan,1
Tabu,Parineeti Chopra,1
Tabu,Ayushmann Khurrana,1
Tabu,Huma Qureshi,1
Tabu,Pulkit Samrat,1
Tabu,Pooja Hegde,1
Tabu,Kriti Sanon,1
Tabu,Kapil Sharma,1
Tabu,Kiara Advani,1
Tabu,Nora Fatehi,1
Tabu,Alaya F,1
Tabu,Disha Patani,1
Shakti Kapoor,Urmila Matondkar,3
Shakti Kapoor,Nana Patekar,2
Shakti Kapoor,Sonali Bendre,10
Shakti Kapoor,Fardeen Khan,1
Shakti Kapoor,Aftab Shivdasani,5
Shakti Kapoor,Tinnu Anand,25
Shakti Kapoor,Raj Babbar,49
Shakti Kapoor,Aruna Irani,73
Shakti Kapoor,Abhishek Bachchan,3
Shakti Kapoor,Mohnish Behl,20
Shakti Kapoor,Manoj Bajpayee,1
Shakti Kapoor,Bipasha Basu,3
Shakti Kapoor,Bhagyashree Patwardhan,3
Shakti Kapoor,Jaspal Bhatti,3
Shakti Kapoor,Mithun Chakraborty,80
Shakti Kapoor,Mahima Chaudhry,3
Shakti Kapoor,Randhir Kapoor,1
Shakti Kapoor,Danny Denzongpa,25
Shakti Kapoor,Bobby Deol,7
Shakti Kapoor,Sunny Deol,15
Shakti Kapoor,Mukul Dev,2
Shakti Kapoor,Rahul Dev,3
Shakti Kapoor,Prabhu Deva,1
Shakti Kapoor,Ajay Devgn,9
Shakti Kapoor,Poonam Dhillon,20
Shakti Kapoor,Avtar Gill,33
Shakti Kapoor,Vikram Gokhale,10
Shakti Kapoor,Govinda,49
Shakti Kapoor,Milind Gunaji,10
Shakti Kapoor,Kamal Haasan,3
Shakti Kapoor,Vrajesh Hirjee,7
Shakti Kapoor,Jaaved Jaaferi,3
Shakti Kapoor,Farida Jalal,12
Shakti Kapoor,Jaya Prada,29
Shakti Kapoor,Jeetendra,46
Shakti Kapoor,Sharman Joshi,1
Shakti Kapoor,Kader Khan,154
Shakti Kapoor,Dimple Kapadia,12
Shakti Kapoor,Anil Kapoor,25
Shakti Kapoor,Annu Kapoor,8
Shakti Kapoor,Rishi Kapoor,15
Shakti Kapoor,Supriya Karnik,13
Shakti Kapoor,Kunal Kemmu,2
Shakti Kapoor,Aamir Khan,2
Shakti Kapoor,Arbaaz Khan,6
Shakti Kapoor,Arshad Warsi,9
Shakti Kapoor,Feroz Khan,4
Shakti Kapoor,Saif Ali Khan,7
Shakti Kapoor,Shah Rukh Khan,2
Shakti Kapoor,Sohail Khan,1
Shakti Kapoor,Akshaye Khanna,5
Shakti Kapoor,Mukesh Khanna,13
Shakti Kapoor,Vinod Khanna,12
Shakti Kapoor,Kulbhushan Kharbanda,28
Shakti Kapoor,Sachin Khedekar,7
Shakti Kapoor,Anupam Kher,57
Shakti Kapoor,Manisha Koirala,8
Shakti Kapoor,Isha Koppikar,3
Shakti Kapoor,Akshay Kumar,15
Shakti Kapoor,Johny Lever,50
Shakti Kapoor,Madhavan,1
Shakti Kapoor,Sanjay Mishra,11
Shakti Kapoor,Rani Mukerji,4
Shakti Kapoor,Govind Namdeo,12
Shakti Kapoor,Neelam Kothari,15
Shakti Kapoor,Manoj Pahwa,3
Shakti Kapoor,Chunky Pandey,18
Shakti Kapoor,Ameesha Patel,3
Shakti Kapoor,Vinay Pathak,1
Shakti Kapoor,Prakash Raj,1
Shakti Kapoor,Amrish Puri,48
Shakti Kapoor,Om Puri,12
Shakti Kapoor,Vijay Raaz,7
Shakti Kapoor,Aishwarya Rai Bachchan,2
Shakti Kapoor,Rajinikanth,12
Shakti Kapoor,Paresh Rawal,38
Shakti Kapoor,Raima Sen,2
Shakti Kapoor,Sushmita Sen,3
Shakti Kapoor,Naseeruddin Shah,6
Shakti Kapoor,Farooq Shaikh,2
Shakti Kapoor,Kim Sharma,2
Shakti Kapoor,Rajesh Sharma,1
Shakti Kapoor,Jimmy Shergill,4
Shakti Kapoor,Shilpa Shetty Kundra,10
Shakti Kapoor,Suniel Shetty,14
Shakti Kapoor,Saurabh Shukla,2
Shakti Kapoor,Chandrachur Singh,5
Shakti Kapoor,Neetu Singh,1
Shakti Kapoor,Raveena Tandon,18
Shakti Kapoor,Mukesh Tiwari,9
Shakti Kapoor,Ashish Vidyarthi,10
Shakti Kapoor,Gracy Singh,2
Shakti Kapoor,Tusshar Kapoor,2
Shakti Kapoor,Aashish Chaudhary,1
Shakti Kapoor,Yashpal Sharma,2
Shakti Kapoor,Rajpal Naurang Yadav,21
Shakti Kapoor,Vivek Oberoi,1
Shakti Kapoor,Lara Dutta,3
Shakti Kapoor,Dia Mirza,1
Shakti Kapoor,Riya Sen,3
Shakti Kapoor,Amrita Arora,1
Shakti Kapoor,Aarti Chhabria,1
Shakti Kapoor,Amrita Rao,1
Shakti Kapoor,Sameera Reddy,2
Shakti Kapoor,Boman Irani,1
Shakti Kapoor,Neha Dhupia,4
Shakti Kapoor,Katrina Kaif,1
Shakti Kapoor,Priyanka Chopra Jonas,2
Shakti Kapoor,Koena Mitra,1
Shakti Kapoor,Ranvir Shorey,1
Shakti Kapoor,Manoj Joshi,13
Shakti Kapoor,Rimi Sen,1
Shakti Kapoor,Uday Tikekar,1
Shakti Kapoor,Sunny Leone,1
Shakti Kapoor,Riteish Deshmukh,5
Shakti Kapoor,Genelia Deshmukh,2
Shakti Kapoor,Mallika Sherawat,2
Shakti Kapoor,Shriya Saran,1
Shakti Kapoor,Shahid Kapoor,1
Shakti Kapoor,Celina Jaitly,1
Shakti Kapoor,Sonu Sood,1
Shakti Kapoor,Vipin Sharma,1
Shakti Kapoor,Gul Panag,1
Shakti Kapoor,Raju Srivastava,11
Shakti Kapoor,Nawazuddin Siddiqui,1
Shakti Kapoor,Ranbir Kapoor,1
Shakti Kapoor,Karishma Tanna,2
Shakti Kapoor,Shreyas Talpade,2
Shakti Kapoor,Soha Ali Khan,1
Shakti Kapoor,Neil Nitin Mukesh,2
Shakti Kapoor,Ayesha Takia,1
Shakti Kapoor,Ashwini Kalsekar,1
Shakti Kapoor,Arjun Kapoor,1
Shakti Kapoor,Sneha Ullal,1
Shakti Kapoor,Vatsal Sheth,1
Shakti Kapoor,Tanushree Dutta,1
Shakti Kapoor,Kay Kay Menon,2
Shakti Kapoor,Kangana Ranaut,1
Shakti Kapoor,Govardhan Asrani,101
Shakti Kapoor,Krishna Abhishek,4
Shakti Kapoor,Ileana D'Cruz,1
Shakti Kapoor,Aditi Rao Hydari,1
Shakti Kapoor,Varun Dhawan,1
Shakti Kapoor,Sudesh Lehri,2
Shakti Kapoor,Shraddha Kapoor,1
Shakti Kapoor,Nargis Fakhri,1
Shakti Kapoor,Kriti Kharbanda,1
Shakti Kapoor,Rajkummar Rao,1
Shakti Kapoor,Sonakshi Sinha,1
Shakti Kapoor,Taapsee Pannu,1
Shakti Kapoor,Kartik Aaryan,1
Shakti Kapoor,Pooja Hegde,1
Shakti Kapoor,Kriti Sanon,1
Shakti Kapoor,Kapil Sharma,1
Shakti Kapoor,Bhumi Pednekar,1
Shakti Kapoor,Shriya Pilgaonkar,1
Shakti Kapoor,Rashmika Mandanna,1
Urmila Matondkar,Nana Patekar,1
Urmila Matondkar,Sonali Bendre,1
Urmila Matondkar,Fardeen Khan,4
Urmila Matondkar,Aftab Shivdasani,2
Urmila Matondkar,Tinnu Anand,4
Urmila Matondkar,Raj Babbar,3
Urmila Matondkar,Aruna Irani,3
Urmila Matondkar,Abhishek Bachchan,2
Urmila Matondkar,Manoj Bajpayee,4
Urmila Matondkar,Jaspal Bhatti,1
Urmila Matondkar,Mahima Chaudhry,3
Urmila Matondkar,Danny Denzongpa,5
Urmila Matondkar,Bobby Deol,1
Urmila Matondkar,Sunny Deol,3
Urmila Matondkar,Ajay Devgn,8
Urmila Matondkar,Poonam Dhillon,1
Urmila Matondkar,Avtar Gill,2
Urmila Matondkar,Vikram Gokhale,2
Urmila Matondkar,Govinda,4
Urmila Matondkar,Kamal Haasan,2
Urmila Matondkar,Farida Jalal,6
Urmila Matondkar,Jaya Prada,1
Urmila Matondkar,Sharman Joshi,1
Urmila Matondkar,Kader Khan,4
Urmila Matondkar,Dimple Kapadia,3
Urmila Matondkar,Anil Kapoor,3
Urmila Matondkar,Annu Kapoor,2
Urmila Matondkar,Rishi Kapoor,3
Urmila Matondkar,Aamir Khan,1
Urmila Matondkar,Irrfan Khan,2
Urmila Matondkar,Saif Ali Khan,1
Urmila Matondkar,Shah Rukh Khan,1
Urmila Matondkar,Akshaye Khanna,3
Urmila Matondkar,Kulbhushan Kharbanda,8
Urmila Matondkar,Anupam Kher,5
Urmila Matondkar,Manisha Koirala,3
Urmila Matondkar,Isha Koppikar,3
Urmila Matondkar,Akshay Kumar,1
Urmila Matondkar,Johny Lever,10
Urmila Matondkar,Sanjay Mishra,2
Urmila Matondkar,Govind Namdeo,3
Urmila Matondkar,Neelam Kothari,1
Urmila Matondkar,Manoj Pahwa,1
Urmila Matondkar,Prakash Raj,1
Urmila Matondkar,Amrish Puri,3
Urmila Matondkar,Om Puri,6
Urmila Matondkar,Vijay Raaz,2
Urmila Matondkar,Paresh Rawal,11
Urmila Matondkar,Sushmita Sen,1
Urmila Matondkar,Naseeruddin Shah,6
Urmila Matondkar,Jimmy Shergill,1
Urmila Matondkar,Suniel Shetty,3
Urmila Matondkar,Saurabh Shukla,2
Urmila Matondkar,Chandrachur Singh,1
Urmila Matondkar,Mukesh Tiwari,1
Urmila Matondkar,Ashish Vidyarthi,1
Urmila Matondkar,Arjun Rampal,2
Urmila Matondkar,Aashish Chaudhary,2
Urmila Matondkar,Yashpal Sharma,2
Urmila Matondkar,Rajpal Naurang Yadav,5
Urmila Matondkar,Vivek Oberoi,1
Urmila Matondkar,Dia Mirza,1
Urmila Matondkar,Amrita Arora,1
Urmila Matondkar,Aarti Chhabria,1
Urmila Matondkar,Boman Irani,2
Urmila Matondkar,Manoj Joshi,1
Urmila Matondkar,Samir Soni,2
Urmila Matondkar,Zayed Khan,1
Urmila Matondkar,Nawazuddin Siddiqui,1
Urmila Matondkar,Ashwini Kalsekar,1
Urmila Matondkar,Sophiya Chaudhary,1
Urmila Matondkar,Tanushree Dutta,1
Urmila Matondkar,Govardhan Asrani,6
Urmila Matondkar,Mahie Gill,1
Urmila Matondkar,Shriya Pilgaonkar,1
Nana Patekar,Fardeen Khan,1
Nana Patekar,Aftab Shivdasani,2
Nana Patekar,Tinnu Anand,3
Nana Patekar,Raj Babbar,3
Nana Patekar,Aruna Irani,1
Nana Patekar,Abhishek Bachchan,1
Nana Patekar,Mohnish Behl,4
Nana Patekar,Manoj Bajpayee,2
Nana Patekar,Bipasha Basu,2
Nana Patekar,Jaspal Bhatti,2
Nana Patekar,Mithun Chakraborty,1
Nana Patekar,Danny Denzongpa,3
Nana Patekar,Bobby Deol,2
Nana Patekar,Mukul Dev,2
Nana Patekar,Prabhu Deva,1
Nana Patekar,Ajay Devgn,5
Nana Patekar,Poonam Dhillon,1
Nana Patekar,Avtar Gill,2
Nana Patekar,Vikram Gokhale,4
Nana Patekar,Milind Gunaji,1
Nana Patekar,Vrajesh Hirjee,3
Nana Patekar,Jaaved Jaaferi,1
Nana Patekar,Farida Jalal,1
Nana Patekar,Jaya Prada,1
Nana Patekar,Kader Khan,1
Nana Patekar,Dimple Kapadia,5
Nana Patekar,Anil Kapoor,3
Nana Patekar,Rishi Kapoor,1
Nana Patekar,Supriya Karnik,2
Nana Patekar,Kunal Kemmu,1
Nana Patekar,Arbaaz Khan,1
Nana Patekar,Arshad Warsi,1
Nana Patekar,Feroz Khan,1
Nana Patekar,Irrfan Khan,1
Nana Patekar,Saif Ali Khan,1
Nana Patekar,Shah Rukh Khan,2
Nana Patekar,Sohail Khan,1
Nana Patekar,Mukesh Khanna,1
Nana Patekar,Kulbhushan Kharbanda,3
Nana Patekar,Sachin Khedekar,2
Nana Patekar,Anupam Kher,4
Nana Patekar,Manisha Koirala,3
Nana Patekar,Isha Koppikar,1
Nana Patekar,Atul Kulkarni,2
Nana Patekar,Akshay Kumar,3
Nana Patekar,Johny Lever,4
Nana Patekar,Sanjay Mishra,5
Nana Patekar,Govind Namdeo,1
Nana Patekar,Nassar,1
Nana Patekar,Manoj Pahwa,1
Nana Patekar,Chunky Pandey,3
Nana Patekar,Prakash Raj,2
Nana Patekar,Om Puri,6
Nana Patekar,Vijay Raaz,2
Nana Patekar,Aishwarya Rai Bachchan,1
Nana Patekar,Rajinikanth,1
Nana Patekar,Paresh Rawal,8
Nana Patekar,Raima Sen,1
Nana Patekar,Naseeruddin Shah,5
Nana Patekar,Farooq Shaikh,1
Nana Patekar,Rajesh Sharma,1
Nana Patekar,Jimmy Shergill,1
Nana Patekar,Shilpa Shetty Kundra,2
Nana Patekar,Suniel Shetty,5
Nana Patekar,Saurabh Shukla,1
Nana Patekar,Raveena Tandon,1
Nana Patekar,Mukesh Tiwari,4
Nana Patekar,Ashish Vidyarthi,1
Nana Patekar,Gracy Singh,1
Nana Patekar,Tusshar Kapoor,1
Nana Patekar,Arjun Rampal,1
Nana Patekar,Yashpal Sharma,2
Nana Patekar,Rajpal Naurang Yadav,3
Nana Patekar,Vivek Oberoi,1
Nana Patekar,Dia Mirza,2
Nana Patekar,Sameera Reddy,2
Nana Patekar,Boman Irani,2
Nana Patekar,Neha Dhupia,1
Nana Patekar,Katrina Kaif,2
Nana Patekar,Priyanka Chopra Jonas,2
Nana Patekar,Manoj Joshi,1
Nana Patekar,Rimi Sen,4
Nana Patekar,Uday Tikekar,1
Nana Patekar,Riteish Deshmukh,2
Nana Patekar,John Abraham,3
Nana Patekar,Mallika Sherawat,1
Nana Patekar,Shriya Saran,2
Nana Patekar,Shahid Kapoor,1
Nana Patekar,Gul Panag,1
Nana Patekar,Kunal Kapoor,1
Nana Patekar,Nawazuddin Siddiqui,1
Nana Patekar,Shruti Haasan,1
Nana Patekar,Ranbir Kapoor,1
Nana Patekar,Shreyas Talpade,2
Nana Patekar,Neil Nitin Mukesh,1
Nana Patekar,Ayesha Takia,1
Nana Patekar,Ashwini Kalsekar,2
Nana Patekar,Vatsal Sheth,1
Nana Patekar,Minissha Lamba,1
Nana Patekar,Govardhan Asrani,2
Nana Patekar,Kajal Aggarwal,1
Nana Patekar,Pankaj Tripathi,2
Nana Patekar,Mahie Gill,1
Nana Patekar,Kriti Kharbanda,1
Nana Patekar,Taapsee Pannu,1
Nana Patekar,Anil Charanjeett,1
Nana Patekar,Parineeti Chopra,1
Nana Patekar,Huma Qureshi,1
Nana Patekar,Pooja Hegde,1
Nana Patekar,Kriti Sanon,1
Sonali Bendre,Fardeen Khan,1
Sonali Bendre,Aftab Shivdasani,1
Sonali Bendre,Tinnu Anand,3
Sonali Bendre,Raj Babbar,1
Sonali Bendre,Aruna Irani,2
Sonali Bendre,Abhishek Bachchan,1
Sonali Bendre,Mohnish Behl,4
Sonali Bendre,Jaya Bachchan,1
Sonali Bendre,Jaspal Bhatti,1
Sonali Bendre,Mithun Chakraborty,3
Sonali Bendre,Mahima Chaudhry,1
Sonali Bendre,Danny Denzongpa,2
Sonali Bendre,Sunny Deol,1
Sonali Bendre,Ajay Devgn,6
Sonali Bendre,Avtar Gill,7
Sonali Bendre,Govinda,3
Sonali Bendre,Milind Gunaji,1
Sonali Bendre,Farida Jalal,3
Sonali Bendre,Sharman Joshi,1
Sonali Bendre,Kader Khan,5
Sonali Bendre,Anil Kapoor,2
Sonali Bendre,Supriya Karnik,2
Sonali Bendre,Kunal Kemmu,4
Sonali Bendre,Aamir Khan,1
Sonali Bendre,Saif Ali Khan,5
Sonali Bendre,Shah Rukh Khan,3
Sonali Bendre,Akshaye Khanna,2
Sonali Bendre,Mukesh Khanna,1
Sonali Bendre,Kulbhushan Kharbanda,3
Sonali Bendre,Anupam Kher,4
Sonali Bendre,Manisha Koirala,2
Sonali Bendre,Akshay Kumar,5
Sonali Bendre,Johny Lever,7
Sonali Bendre,Sanjay Mishra,1
Sonali Bendre,Rani Mukerji,2
Sonali Bendre,Govind Namdeo,2
Sonali Bendre,Nassar,2
Sonali Bendre,Neelam Kothari,1
Sonali Bendre,Prakash Raj,5
Sonali Bendre,Amrish Puri,3
Sonali Bendre,Om Puri,2
Sonali Bendre,Aishwarya Rai Bachchan,2
Sonali Bendre,Paresh Rawal,5
Sonali Bendre,Naseeruddin Shah,2
Sonali Bendre,Kim Sharma,1
Sonali Bendre,Shilpa Shetty Kundra,1
Sonali Bendre,Suniel Shetty,7
Sonali Bendre,Saurabh Shukla,1
Sonali Bendre,Raveena Tandon,2
Sonali Bendre,Ashish Vidyarthi,2
Sonali Bendre,Rajpal Naurang Yadav,2
Sonali Bendre,Riya Sen,1
Sonali Bendre,Aarti Chhabria,1
Sonali Bendre,Manoj Joshi,1
Sonali Bendre,Samir Soni,1
Sonali Bendre,Imran Khan,1
Sonali Bendre,Nawazuddin Siddiqui,1
Sonali Bendre,Shruti Haasan,1
Sonali Bendre,Vidya Balan,1
Sonali Bendre,Sophiya Chaudhary,1
Sonali Bendre,Kay Kay Menon,1
Sonali Bendre,Govardhan Asrani,2
Sonali Bendre,Nargis Fakhri,1
Sonali Bendre,Sonakshi Sinha,1
Sonali Bendre,Shriya Pilgaonkar,1
Fardeen Khan,Aftab Shivdasani,3
Fardeen Khan,Raj Babbar,1
Fardeen Khan,Abhishek Bachchan,2
Fardeen Khan,Manoj Bajpayee,1
Fardeen Khan,Bipasha Basu,2
Fardeen Khan,Mithun Chakraborty,1
Fardeen Khan,Mahima Chaudhry,1
Fardeen Khan,Randhir Kapoor,1
Fardeen Khan,Danny Denzongpa,1
Fardeen Khan,Bobby Deol,1
Fardeen Khan,Esha Deol,5
Fardeen Khan,Sunny Deol,1
Fardeen Khan,Mukul Dev,2
Fardeen Khan,Ajay Devgn,2
Fardeen Khan,Avtar Gill,3
Fardeen Khan,Vikram Gokhale,2
Fardeen Khan,Govinda,1
Fardeen Khan,Milind Gunaji,1
Fardeen Khan,Vrajesh Hirjee,1
Fardeen Khan,Farida Jalal,2
Fardeen Khan,Sharman Joshi,1
Fardeen Khan,Anil Kapoor,2
Fardeen Khan,Annu Kapoor,1
Fardeen Khan,Supriya Karnik,1
Fardeen Khan,Kunal Kemmu,1
Fardeen Khan,Arbaaz Khan,1
Fardeen Khan,Feroz Khan,3
Fardeen Khan,Irrfan Khan,1
Fardeen Khan,Saif Ali Khan,2
Fardeen Khan,Shah Rukh Khan,2
Fardeen Khan,Sohail Khan,1
Fardeen Khan,Mukesh Khanna,1
Fardeen Khan,Anupam Kher,3
Fardeen Khan,Manisha Koirala,1
Fardeen Khan,Isha Koppikar,1
Fardeen Khan,Akshay Kumar,2
Fardeen Khan,Johny Lever,6
Fardeen Khan,Sanjay Mishra,4
Fardeen Khan,Govind Namdeo,3
Fardeen Khan,Manoj Pahwa,1
Fardeen Khan,Chunky Pandey,1
Fardeen Khan,Ameesha Patel,1
Fardeen Khan,Amrish Puri,2
Fardeen Khan,Om Puri,1
Fardeen Khan,Vijay Raaz,1
Fardeen Khan,Paresh Rawal,1
Fardeen Khan,Sushmita Sen,1
Fardeen Khan,Kim Sharma,1
Fardeen Khan,Suniel Shetty,2
Fardeen Khan,Mukesh Tiwari,2
Fardeen Khan,Tusshar Kapoor,2
Fardeen Khan,Arjun Rampal,1
Fardeen Khan,Yashpal Sharma,1
Fardeen Khan,Rajpal Naurang Yadav,4
Fardeen Khan,Vivek Oberoi,1
Fardeen Khan,Lara Dutta,1
Fardeen Khan,Dia Mirza,3
Fardeen Khan,Riya Sen,2
Fardeen Khan,Amrita Arora,2
Fardeen Khan,Aarti Chhabria,2
Fardeen Khan,Amrita Rao,3
Fardeen Khan,Sameera Reddy,1
Fardeen Khan,Boman Irani,4
Fardeen Khan,Neha Dhupia,1
Fardeen Khan,Koena Mitra,2
Fardeen Khan,Riteish Deshmukh,3
Fardeen Khan,Genelia Deshmukh,1
Fardeen Khan,Zayed Khan,1
Fardeen Khan,John Abraham,2
Fardeen Khan,Shahid Kapoor,1
Fardeen Khan,Celina Jaitly,3
Fardeen Khan,Emraan Hashmi,1
Fardeen Khan,Nawazuddin Siddiqui,1
Fardeen Khan,Soha Ali Khan,1
Fardeen Khan,Ayesha Takia,1
Fardeen Khan,Vidya Balan,1
Fardeen Khan,Ashwini Kalsekar,2
Fardeen Khan,Arjun Kapoor,1
Fardeen Khan,Upendra Limaye,1
Fardeen Khan,Sneha Ullal,1
Fardeen Khan,Sophiya Chaudhary,2
Fardeen Khan,Kay Kay Menon,1
Fardeen Khan,Minissha Lamba,1
Fardeen Khan,Govardhan Asrani,1
Fardeen Khan,Aditi Rao Hydari,1
Fardeen Khan,Jacqueline Fernandez,1
Fardeen Khan,Prateik Patil Babbar,1
Fardeen Khan,Richa Chadha,1
Fardeen Khan,Kriti Kharbanda,1
Fardeen Khan,Sonakshi Sinha,2
Fardeen Khan,Kartik Aaryan,1
Fardeen Khan,Huma Qureshi,1
Fardeen Khan,Pooja Hegde,1
Fardeen Khan,Kriti Sanon,1
Fardeen Khan,Nora Fatehi,1
Aftab Shivdasani,Tinnu Anand,2
Aftab Shivdasani,Raj Babbar,1
Aftab Shivdasani,Aruna Irani,3
Aftab Shivdasani,Abhishek Bachchan,2
Aftab Shivdasani,Mohnish Behl,1
Aftab Shivdasani,Manoj Bajpayee,3
Aftab Shivdasani,Bipasha Basu,3
Aftab Shivdasani,Jaya Bachchan,1
Aftab Shivdasani,Bhagyashree Patwardhan,1
Aftab Shivdasani,Jaspal Bhatti,2
Aftab Shivdasani,Mithun Chakraborty,1
Aftab Shivdasani,Danny Denzongpa,2
Aftab Shivdasani,Bobby Deol,2
Aftab Shivdasani,Esha Deol,3
Aftab Shivdasani,Sunny Deol,4
Aftab Shivdasani,Mukul Dev,1
Aftab Shivdasani,Rahul Dev,5
Aftab Shivdasani,Ajay Devgn,1
Aftab Shivdasani,Avtar Gill,2
Aftab Shivdasani,Vikram Gokhale,2
Aftab Shivdasani,Govinda,1
Aftab Shivdasani,Vrajesh Hirjee,3
Aftab Shivdasani,Jaaved Jaaferi,2
Aftab Shivdasani,Jaya Prada,2
Aftab Shivdasani,Sharman Joshi,1
Aftab Shivdasani,Kader Khan,3
Aftab Shivdasani,Anil Kapoor,1
Aftab Shivdasani,Annu Kapoor,2
Aftab Shivdasani,Aamir Khan,1
Aftab Shivdasani,Arbaaz Khan,2
Aftab Shivdasani,Arshad Warsi,2
Aftab Shivdasani,Irrfan Khan,3
Aftab Shivdasani,Saif Ali Khan,3
Aftab Shivdasani,Shah Rukh Khan,1
Aftab Shivdasani,Sohail Khan,1
Aftab Shivdasani,Akshaye Khanna,2
Aftab Shivdasani,Mukesh Khanna,1
Aftab Shivdasani,Vinod Khanna,2
Aftab Shivdasani,Kulbhushan Kharbanda,2
Aftab Shivdasani,Anupam Kher,8
Aftab Shivdasani,Manisha Koirala,2
Aftab Shivdasani,Isha Koppikar,2
Aftab Shivdasani,Akshay Kumar,5
Aftab Shivdasani,Johny Lever,9
Aftab Shivdasani,Pawan Malhotra,3
Aftab Shivdasani,Sanjay Mishra,3
Aftab Shivdasani,Govind Namdeo,2
Aftab Shivdasani,Nassar,2
Aftab Shivdasani,Manoj Pahwa,1
Aftab Shivdasani,Chunky Pandey,3
Aftab Shivdasani,Ameesha Patel,3
Aftab Shivdasani,Vinay Pathak,1
Aftab Shivdasani,Amrish Puri,3
Aftab Shivdasani,Om Puri,4
Aftab Shivdasani,Vijay Raaz,3
Aftab Shivdasani,Rajinikanth,1
Aftab Shivdasani,Paresh Rawal,6
Aftab Shivdasani,Naseeruddin Shah,2
Aftab Shivdasani,Kim Sharma,2
Aftab Shivdasani,Jimmy Shergill,2
Aftab Shivdasani,Shilpa Shetty Kundra,1
